title,year,director,producer,writer,genre,budget,revenue,release_month,roi,success,director_avg_roi,director_hit_rate,producer_rev_mult,producer_hit_rate,writer_quality,writer_hit_rate,genre_rev_mult,genre_base_success,month_modifier
Film_0001,2015,Robert Eggers,Amy Pascal,Emerald Fennell,Adventure,4635288,3903657,3,-0.158,0,2.0,0.6,2.8,0.72,0.78,0.7,1.5,0.55,0.82
Film_0002,2025,Unknown Director,Jerry Bruckheimer,Charlie Kaufman,Comedy,138174525,283621157,12,1.053,1,0.8,0.35,2.5,0.7,0.75,0.5,0.8,0.5,1.2
Film_0003,2024,Unknown Director,Unknown Producer,Tony Kushner,Drama,10361355,6949743,12,-0.329,0,0.8,0.35,1.2,0.38,0.78,0.65,0.6,0.4,1.2
Film_0004,2013,Barry Jenkins,Peter Chernin,Edgar Wright,Comedy,60867233,29066554,10,-0.522,0,1.8,0.65,2.0,0.62,0.78,0.65,0.8,0.5,0.8
Film_0005,2008,Ryan Coogler,Unknown Producer,Greta Gerwig,Comedy,30701151,11905817,8,-0.612,0,4.0,0.85,1.2,0.38,0.8,0.78,0.8,0.5,1.05
Film_0006,2008,Damien Chazelle,Unknown Producer,Damien Chazelle,Comedy,57964092,61620155,10,0.063,0,2.5,0.7,1.2,0.38,0.82,0.72,0.8,0.5,0.8
Film_0007,2017,Unknown Director,Amy Pascal,Ryan Coogler,Comedy,35253492,24161340,5,-0.315,0,0.8,0.35,2.8,0.72,0.8,0.82,0.8,0.5,1.1
Film_0008,2023,Unknown Director,Kevin Feige,Unknown Writer,Romance,54893675,91063427,11,0.659,1,0.8,0.35,4.0,0.92,0.5,0.35,0.7,0.42,1.15
Film_0009,2006,Jordan Peele,Brad Pitt,Taylor Sheridan,Romance,11861543,11654656,12,-0.017,0,5.0,0.9,2.0,0.6,0.8,0.72,0.7,0.42,1.2
Film_0010,2009,Jordan Peele,Amy Pascal,Quentin Tarantino,Action,18182258,50259407,3,1.764,1,5.0,0.9,2.8,0.72,0.85,0.8,1.5,0.55,0.82
Film_0011,2021,Edgar Wright,Charles Roven,Unknown Writer,Drama,22230277,5917716,7,-0.734,0,1.5,0.65,2.5,0.65,0.5,0.35,0.6,0.4,1.3
Film_0012,2023,Bong Joon-ho,Charles Roven,Greta Gerwig,Animation,87230060,229732905,11,1.634,1,3.0,0.75,2.5,0.65,0.8,0.78,1.6,0.6,1.15
Film_0013,2024,Emerald Fennell,A24,Emerald Fennell,Action,11041862,7894874,1,-0.285,0,2.5,0.7,3.5,0.65,0.78,0.7,1.5,0.55,0.7
Film_0014,2013,Edgar Wright,Emma Thomas,Tony Kushner,Romance,7191593,7140145,11,-0.007,0,1.5,0.65,3.5,0.88,0.78,0.65,0.7,0.42,1.15
Film_0015,2021,Quentin Tarantino,Jerry Bruckheimer,Jordan Peele,Action,32813580,38349735,8,0.169,0,2.5,0.8,2.5,0.7,0.9,0.88,1.5,0.55,1.05
Film_0016,2015,Christopher Nolan,Jerry Bruckheimer,Charlie Kaufman,Animation,9782144,9430917,4,-0.036,0,3.8,0.9,2.5,0.7,0.75,0.5,1.6,0.6,0.85
Film_0017,2010,Jordan Peele,David Heyman,James Gunn,Action,143820939,328024724,9,1.281,1,5.0,0.9,3.2,0.8,0.78,0.8,1.5,0.55,0.75
Film_0018,2024,Greta Gerwig,Unknown Producer,Rian Johnson,Horror,10057936,18231425,7,0.813,1,3.5,0.8,1.2,0.38,0.78,0.68,1.8,0.65,1.3
Film_0019,2007,Ryan Coogler,Unknown Producer,Taika Waititi,Animation,22557587,21377934,10,-0.052,0,4.0,0.85,1.2,0.38,0.75,0.7,1.6,0.6,0.8
Film_0020,2013,Chloe Zhao,Jerry Bruckheimer,Damien Chazelle,Sci-Fi,164782497,82239312,5,-0.501,0,1.2,0.5,2.5,0.7,0.82,0.72,1.3,0.5,1.1
Film_0021,2008,Chloe Zhao,Kevin Feige,Eric Roth,Action,73149669,139641530,8,0.909,1,1.2,0.5,4.0,0.92,0.75,0.68,1.5,0.55,1.05
Film_0022,2007,Unknown Director,Unknown Producer,Taika Waititi,Comedy,5720748,5176371,2,-0.095,0,0.8,0.35,1.2,0.38,0.75,0.7,0.8,0.5,0.72
Film_0023,2021,Christopher Nolan,Jon Landau,Bong Joon-ho,Animation,78929356,45971141,3,-0.418,0,3.8,0.9,5.0,0.9,0.85,0.75,1.6,0.6,0.82
Film_0024,2012,Damien Chazelle,Lorenzo di Bonaventura,Charlie Kaufman,Drama,84995697,127660328,6,0.502,1,2.5,0.7,2.2,0.6,0.75,0.5,0.6,0.4,1.25
Film_0025,2007,Emerald Fennell,Kevin Feige,Unknown Writer,Drama,19637525,27548403,4,0.403,0,2.5,0.7,4.0,0.92,0.5,0.35,0.6,0.4,0.85
Film_0026,2005,James Wan,Brad Pitt,Diablo Cody,Sci-Fi,39881212,44134292,3,0.107,0,4.5,0.85,2.0,0.6,0.72,0.58,1.3,0.5,0.82
Film_0027,2022,Christopher Nolan,Peter Chernin,Quentin Tarantino,Romance,17082408,11464211,8,-0.329,0,3.8,0.9,2.0,0.62,0.85,0.8,0.7,0.42,1.05
Film_0028,2007,Michael Bay,Brad Pitt,James Gunn,Animation,105105835,47408124,10,-0.549,0,2.2,0.65,2.0,0.6,0.78,0.8,1.6,0.6,0.8
